報告書_id,文_id,動詞_id,名詞,助詞,動詞
109000229,0,4,主機停止中,に,実施する
109000229,0,4,油面計,から,実施する
109000229,0,8,循環中,に,採油する
109000229,0,10,油中粒子,は,比較する
109000229,0,10,採油した場合,に,比較する
109000229,0,14,沈降の影響,で,出る
109000229,0,14,濃度,に,出る
109000229,0,16,今回の採油,は,ある
109000229,0,16,実施されたこと,から,ある
109000229,0,16,可能性,が,ある
109000229,1,4,こと,を,踏まえる
109000229,1,6,今回の分析,は,検討する
109000229,1,6,結果,を,検討する
109000229,2,6,粒子の沈降,は,ある
109000229,2,6,油温や粒子サイズ,により,ある
109000229,2,6,相違,が,ある
109000229,3,6,油温,が,なる
109000229,3,6,時間,に,なる
109000229,3,6,cm,と,なる
109000229,4,4,油温とサイズ,により,変化する
109000229,4,4,沈降速度,は,変化する
109000229,4,9,影響,を,少ない
109000229,4,10,採油,は,実施する
109000229,4,12,こと,が,重要
109000229,4,16,油中粒子,が,実施する
109000229,4,16,均一な分散状態,で,実施する
109000229,4,17,よう,に,最良
109000229,4,17,の,が,最良
109000229,5,3,機器の潤滑状態および定期試験,を,実施する
109000229,5,5,前回データ,と,照合する
109000229,5,9,濃度,が,なる
109000229,5,9,濃度,と,なる
109000229,5,13,採油条件,に,確認する
109000229,5,13,油中粒子の減少,が,確認する
109000229,6,6,油槽内などでの沈降,が,均衡する
109000229,6,11,油中の濃度,は,なる
109000229,6,11,平衡状態,に,なる
109000229,6,14,バランス,が,崩れる
109000229,6,17,場合,と,減少する
109000229,6,19,場合,と,分かれる
109000229,7,5,発生と減少の均衡,が,崩れる
109000229,7,9,発生や外部混入,が,始まる
109000229,7,11,増加した場合,は,示す
109000229,7,11,始まったこと,を,示す
109000229,7,14,これ,と,減少する
109000229,7,14,反対,に,減少する
109000229,7,17,発生量,が,減少する
109000229,7,20,減少量,が,大きい
109000229,7,22,こと,を,示す
109000229,7,27,汚染状態や潤滑状態,が,良好
109000229,7,29,反対に、減少した場合,は,示唆する
109000229,7,29,減少,は,示唆する
109000229,7,29,良好であること,を,示唆する
109000229,8,3,油中の粒子,が,減少する
109000229,8,5,要因,と,なる
109000229,8,7,フィルタ類,は,設置する
109000229,8,10,減少,は,考える
109000229,8,13,油中の摩耗粒子,が,減少する
109000229,8,16,摩耗粒子,が,発生する
109000229,8,19,油槽内部での沈降,が,ある
109000229,8,21,設備,で,考える
109000229,8,21,あったため,と,考える
109000229,9,5,以上のこと,から,ない
109000229,9,5,軸受,は,ない
109000229,9,5,摩耗の進行,が,ない
109000229,9,9,安定した状態,に,ある
109000229,9,11,あったもの,と,判断する
109000229,10,3,前回,に,比較する
109000229,10,5,計数汚染度,は,ランク減少する
109000229,10,10,SOAP／D-SOAPの鉄および濃度,に,ない
109000229,10,10,変化,が,ない
109000229,10,18,ないこと異常摩耗の早期発見パラメータであるフェログラフィーのIs値がのマイナス乗,と,ある
109000229,10,18,良好の範囲,に,ある
109000229,10,21,これらのこと,は,判断する
109000229,10,21,こと以上のこと,から,判断する
109000229,11,5,良好の範囲,に,ある
109000229,11,8,こと,から,可能
109000229,11,8,試料油,は,可能
109000229,11,9,潤滑油の基本特性潤滑油の基本特性,は,判断する
109000229,11,9,継続使用可能,と,判断する
