,,Similarity
化合物 摩耗する,摩耗 化合物 進行する,0.914646360168
金属表面 更油油 油中の酸成分の影響 腐食する,金属表面 油 油中の酸成分の影響 腐食する,0.669830452282
IRのデータ 粘度 良好,IRのデータ 水分 良好,0.630991203851
IRのデータ 潤滑油 ある,IRのデータ 軸受 ある,0.630991203851
移着粒子 成長する,移着粒子 なる,0.627617870385
高い摩擦熱 発生する,高い摩擦熱 繰り返す,0.615754919925
IRのデータ 潤滑油 ある,IRのデータ 継続使用可能な状態 ある,0.603169354193
IRのデータ 軸受 ある,IRのデータ 継続使用可能な状態 ある,0.603169354193
全酸価 粘度 良好,全酸価 水分 良好,0.586346326429
摩耗粒子 検出する,摩耗粒子 なる,0.571428571429
汚染度 鉄錆 高い,鉄錆 検出する,0.570228167291
化合物 カルシウム化合物 ある,カルシウム化合物 検出する,0.560033616424
潤滑油中 鉄 検出する,潤滑油中 銅 検出する,0.556475159944
IRのデータ 粘度 良好,水分のデータ 粘度 良好,0.523063049759
IRのデータ 水分 良好,水分のデータ 粘度 良好,0.523063049759
油膜切れ エンジン油中 高い濃度 検出する,カルシウム化合物 エンジン油中 高い濃度 検出する,0.519245650117
銅合金 フィルタ表面の異物観察 検出する,鉄錆 フィルタ表面の異物観察 検出する,0.435691754732
カルシウム化合物 検出する,カルシウム化合物 エンジン油中 高い濃度 検出する,0.405711793485
摩耗 発生する,摩耗の進行 進行する,0.4
